setting,cost_model,method,coverage_total,utility_per_item,answer_threshold,defer_threshold
sample0,default,best,0.001,0.001,0.9999999979604536,0.9999999979604536
sample0,default,best,0.483,0.479,0.9500010204398652,0.9500010204398652
sample0,default,best,0.49,0.4799,0.9500010204398652,0.9000020429192768
sample0,default,best,0.49,0.486,0.9000020429192768,0.9000020429192768
sample0,default,best,0.493,0.48810000000000003,0.9000020429192768,0.8500030653986884
sample0,default,best,0.493,0.489,0.8500030653986884,0.8500030653986884
sample0,default,best,0.495,0.4904,0.8500030653986884,0.8000040878781
sample0,default,best,0.495,0.491,0.8000040878781,0.8000040878781
sample0,default,best,0.496,0.49110000000000004,0.8500030653986884,0.7500051103575115
sample0,default,best,0.496,0.492,0.7500051103575115,0.7500051103575115
sample0,default,best,0.5,0.4948,0.7500051103575115,0.7000061328369231
sample0,default,best,0.508,0.4995,0.8500030653986884,0.6500071553163347
sample0,default,best,0.508,0.5004,0.7500051103575115,0.6500071553163347
sample0,default,logreg_self,0.001,0.001,0.8950751951344644,0.8950751951344644
sample0,default,logreg_self,0.002,0.002,0.8505969010813597,0.8505969010813597
sample0,default,logreg_self,0.011,0.0083,0.8505969010813597,0.8061186070282549
sample0,default,logreg_self,0.011,0.011,0.8061186070282549,0.8061186070282549
sample0,default,logreg_self,0.154,0.032100000000000004,0.8950751951344644,0.7616403129751502
sample0,default,logreg_self,0.154,0.0351,0.8061186070282549,0.7616403129751502
sample0,default,logreg_self,0.154,0.078,0.7616403129751502,0.7616403129751502
sample0,default,logreg_self,0.265,0.085,0.7171620189220455,0.7171620189220455
sample0,default,logreg_self,0.418,0.106,0.6726837248689407,0.6726837248689407
sample0,default,logreg_self,0.491,0.107,0.628205430815836,0.628205430815836
sample0,default,logreg_teacher,0.001,0.001,0.9999939735845874,0.9999939735845874
sample0,default,logreg_teacher,0.48,0.48,0.9506745695463382,0.9506745695463382
sample0,default,logreg_teacher,0.484,0.4828,0.9506745695463382,0.9013551655080891
sample0,default,logreg_teacher,0.484,0.484,0.9013551655080891,0.9013551655080891
sample0,default,logreg_teacher,0.485,0.48469999999999996,0.9013551655080891,0.85203576146984
sample0,default,logreg_teacher,0.485,0.485,0.8027163574315908,0.8027163574315908
sample0,default,logreg_teacher,0.487,0.48610000000000003,0.9013551655080891,0.7533969533933416
sample0,default,logreg_teacher,0.487,0.4864,0.85203576146984,0.7533969533933416
sample0,default,logreg_teacher,0.487,0.487,0.7533969533933416,0.7533969533933416
sample0,default,logreg_teacher,0.496,0.49269999999999997,0.85203576146984,0.7040775493550924
sample0,default,logreg_teacher,0.496,0.4933,0.7533969533933416,0.7040775493550924
sample0,default,logreg_teacher,0.501,0.4968,0.7533969533933416,0.6547581453168433
sample0,default,logreg_teacher,0.507,0.497,0.7533969533933416,0.6054387412785941
sample0,default,logreg_teacher,0.513,0.5005999999999999,0.8027163574315908,0.5561193372403449
sample0,default,logreg_teacher,0.513,0.5012,0.7533969533933416,0.5561193372403449
sample0,default,logreg_teacher,0.52,0.5052,0.9013551655080891,0.45748052916384657
sample0,default,logreg_teacher,0.52,0.5061,0.7533969533933416,0.45748052916384657
sample0,default,logreg_teacher,0.523,0.5073,0.9013551655080891,0.4081611251255974
sample0,default,logreg_teacher,0.523,0.5082,0.7533969533933416,0.4081611251255974
sample0,default,logreg_teacher,0.53,0.5122000000000001,0.9013551655080891,0.3588417210873482
sample0,default,logreg_teacher,0.53,0.5125,0.8027163574315908,0.3588417210873482
sample0,default,logreg_teacher,0.53,0.5131,0.7533969533933416,0.3588417210873482
sample0,default,mlp_all,0.001,0.001,0.999548666632793,0.999548666632793
sample0,default,mlp_all,0.43,0.43,0.9498032040454578,0.9498032040454578
sample0,default,mlp_all,0.466,0.4552,0.9498032040454578,0.9000577414581228
sample0,default,mlp_all,0.466,0.466,0.9000577414581228,0.9000577414581228
sample0,default,mlp_all,0.471,0.4695,0.9000577414581228,0.8503122788707876
sample0,default,mlp_all,0.471,0.471,0.8503122788707876,0.8503122788707876
sample0,default,mlp_all,0.478,0.4759,0.8503122788707876,0.8005668162834525
sample0,default,mlp_all,0.478,0.478,0.8005668162834525,0.8005668162834525
sample0,strict,best,0.001,0.001,0.9999999979604536,0.9999999979604536
sample0,strict,best,0.483,0.477,0.9500010204398652,0.9500010204398652
sample0,strict,best,0.49,0.484,0.9000020429192768,0.9000020429192768
sample0,strict,best,0.493,0.4858,0.9000020429192768,0.8500030653986884
sample0,strict,best,0.493,0.487,0.8500030653986884,0.8500030653986884
sample0,strict,best,0.495,0.48819999999999997,0.8500030653986884,0.8000040878781
sample0,strict,best,0.495,0.489,0.8000040878781,0.8000040878781
sample0,strict,best,0.496,0.49,0.7500051103575115,0.7500051103575115
sample0,strict,best,0.5,0.4924,0.7500051103575115,0.7000061328369231
sample0,strict,best,0.508,0.496,0.8500030653986884,0.6500071553163347
sample0,strict,best,0.508,0.4972,0.7500051103575115,0.6500071553163347
sample0,strict,logreg_self,0.001,0.001,0.8950751951344644,0.8950751951344644
sample0,strict,logreg_self,0.002,0.002,0.8505969010813597,0.8505969010813597
sample0,strict,logreg_self,0.011,0.0073999999999999995,0.8505969010813597,0.8061186070282549
sample0,strict,logreg_self,0.011,0.011,0.8061186070282549,0.8061186070282549
sample0,strict,logreg_self,0.154,0.04,0.7616403129751502,0.7616403129751502
sample0,strict,logreg_teacher,0.001,0.001,0.9999939735845874,0.9999939735845874
sample0,strict,logreg_teacher,0.48,0.48,0.9506745695463382,0.9506745695463382
sample0,strict,logreg_teacher,0.484,0.4824,0.9506745695463382,0.9013551655080891
sample0,strict,logreg_teacher,0.484,0.484,0.9013551655080891,0.9013551655080891
sample0,strict,logreg_teacher,0.485,0.48460000000000003,0.9013551655080891,0.85203576146984
sample0,strict,logreg_teacher,0.485,0.485,0.8027163574315908,0.8027163574315908
sample0,strict,logreg_teacher,0.487,0.4858,0.9013551655080891,0.7533969533933416
sample0,strict,logreg_teacher,0.487,0.48619999999999997,0.85203576146984,0.7533969533933416
sample0,strict,logreg_teacher,0.487,0.487,0.7533969533933416,0.7533969533933416
sample0,strict,logreg_teacher,0.496,0.49160000000000004,0.85203576146984,0.7040775493550924
sample0,strict,logreg_teacher,0.496,0.4924,0.7533969533933416,0.7040775493550924
sample0,strict,logreg_teacher,0.501,0.49539999999999995,0.7533969533933416,0.6547581453168433
sample0,strict,logreg_teacher,0.513,0.4958,0.8027163574315908,0.5561193372403449
sample0,strict,logreg_teacher,0.513,0.49660000000000004,0.7533969533933416,0.5561193372403449
sample0,strict,logreg_teacher,0.52,0.49960000000000004,0.9013551655080891,0.45748052916384657
sample0,strict,logreg_teacher,0.52,0.5008,0.7533969533933416,0.45748052916384657
sample0,strict,logreg_teacher,0.523,0.5014000000000001,0.9013551655080891,0.4081611251255974
