setting,cost_model,method,utility_per_item,answer_count,teacher_count,abstain_count,coverage_self,coverage_total,answer_accuracy,teacher_accuracy,answer_threshold,defer_threshold,utility_total
sample0,default,always_answer_utility,-0.736,1000.0,0.0,0.0,1.0,1.0,,,,,
sample0,default,always_teacher_utility,-1.04,0.0,1000.0,0.0,0.0,1.0,,,,,
sample0,default,always_abstain_utility,0.0,0.0,0.0,1000.0,0.0,0.0,,,,,
sample0,default,best,0.5004,496.0,12.0,492.0,0.496,0.508,0.9979838709677419,1.0,0.7500051103575115,0.6500071553163347,500.4
sample0,default,logreg_self,0.107,491.0,0.0,509.0,0.491,0.491,0.8044806517311609,0.0,0.628205430815836,0.628205430815836,107.0
sample0,default,logreg_teacher,0.5131,487.0,43.0,470.0,0.487,0.53,1.0,0.9767441860465116,0.7533969533933416,0.3588417210873482,513.1
sample0,default,mlp_all,0.478,478.0,0.0,522.0,0.478,0.478,1.0,0.0,0.8005668162834525,0.8005668162834525,478.0
sample0,strict,always_answer_utility,-1.604,1000.0,0.0,0.0,1.0,1.0,,,,,
sample0,strict,always_teacher_utility,-2.01,0.0,1000.0,0.0,0.0,1.0,,,,,
sample0,strict,always_abstain_utility,0.0,0.0,0.0,1000.0,0.0,0.0,,,,,
sample0,strict,best,0.4972,496.0,12.0,492.0,0.496,0.508,0.9979838709677419,1.0,0.7500051103575115,0.6500071553163347,497.2
sample0,strict,logreg_self,0.04,154.0,0.0,846.0,0.154,0.154,0.8766233766233766,0.0,0.7616403129751502,0.7616403129751502,40.0
sample0,strict,logreg_teacher,0.5068,487.0,43.0,470.0,0.487,0.53,1.0,0.9767441860465116,0.7533969533933416,0.3588417210873482,506.80000000000007
sample0,strict,mlp_all,0.478,478.0,0.0,522.0,0.478,0.478,1.0,0.0,0.8005668162834525,0.8005668162834525,478.0
sample0,lenient,always_answer_utility,-0.085,1000.0,0.0,0.0,1.0,1.0,,,,,
sample0,lenient,always_teacher_utility,-0.2875,0.0,1000.0,0.0,0.0,1.0,,,,,
sample0,lenient,always_abstain_utility,0.0,0.0,0.0,1000.0,0.0,0.0,,,,,
sample0,lenient,best,0.5046,496.0,17.0,487.0,0.496,0.513,0.9979838709677419,0.9411764705882353,0.7500051103575115,0.5500092002751579,504.6
sample0,lenient,logreg_self,0.2595,622.0,0.0,378.0,0.622,0.622,0.7668810289389068,0.0,0.4947705486565217,0.4947705486565217,259.5
sample0,lenient,logreg_teacher,0.5189,487.0,43.0,470.0,0.487,0.53,1.0,0.9767441860465116,0.7533969533933416,0.3588417210873482,518.9
sample0,lenient,mlp_all,0.4856,498.0,22.0,480.0,0.498,0.52,0.9839357429718876,0.8181818181818182,0.6513304285214472,0.5020940407594418,485.59999999999997
fixed_k,default,always_answer_utility,-0.652,1000.0,0.0,0.0,1.0,1.0,,,,,
fixed_k,default,always_teacher_utility,-1.004,0.0,1000.0,0.0,0.0,1.0,,,,,
fixed_k,default,always_abstain_utility,0.0,0.0,0.0,1000.0,0.0,0.0,,,,,
fixed_k,default,best,0.485,485.0,0.0,515.0,0.485,0.485,1.0,0.0,0.8504211948523067,0.8504211948523067,485.0
fixed_k,default,logreg_all,0.494,502.0,0.0,498.0,0.502,0.502,0.9960159362549801,0.0,0.9500000000538423,0.9500000000538423,494.0
fixed_k,default,logreg_self,0.129,409.0,0.0,591.0,0.409,0.409,0.8288508557457213,0.0,0.7000507378472856,0.7000507378472856,129.0
fixed_k,default,logreg_teacher,0.507,502.0,30.0,468.0,0.502,0.532,0.9960159362549801,0.9333333333333333,0.9,0.45,507.0
fixed_k,strict,always_answer_utility,-1.478,1000.0,0.0,0.0,1.0,1.0,,,,,
fixed_k,strict,always_teacher_utility,-1.956,0.0,1000.0,0.0,0.0,1.0,,,,,
fixed_k,strict,always_abstain_utility,0.0,0.0,0.0,1000.0,0.0,0.0,,,,,
fixed_k,strict,best,0.485,485.0,0.0,515.0,0.485,0.485,1.0,0.0,0.8504211948523067,0.8504211948523067,485.0
fixed_k,strict,logreg_all,0.49,502.0,0.0,498.0,0.502,0.502,0.9960159362549801,0.0,0.9500000000538423,0.9500000000538423,490.0
fixed_k,strict,logreg_self,0.037,151.0,0.0,849.0,0.151,0.151,0.8741721854304636,0.0,0.8000338252315237,0.8000338252315237,37.0
fixed_k,strict,logreg_teacher,0.496,502.0,30.0,468.0,0.502,0.532,0.9960159362549801,0.9333333333333333,0.9,0.45,496.0
fixed_k,lenient,always_answer_utility,-0.0325,1000.0,0.0,0.0,1.0,1.0,,,,,
fixed_k,lenient,always_teacher_utility,-0.2649999999999999,0.0,1000.0,0.0,0.0,1.0,,,,,
fixed_k,lenient,always_abstain_utility,0.0,0.0,0.0,1000.0,0.0,0.0,,,,,
fixed_k,lenient,best,0.499,549.0,0.0,451.0,0.549,0.549,0.9635701275045537,0.0,0.5014039828410225,0.5014039828410225,499.0
fixed_k,lenient,logreg_all,0.5005,502.0,20.0,478.0,0.502,0.522,0.9960159362549801,0.75,0.9500000000538423,0.8000000002153693,500.5
fixed_k,lenient,logreg_self,0.241,611.0,0.0,389.0,0.611,0.611,0.7577741407528642,0.0,0.5000845630788092,0.5000845630788092,241.0
fixed_k,lenient,logreg_teacher,0.5187999999999999,502.0,46.0,452.0,0.502,0.548,0.9960159362549801,0.8695652173913043,0.9,0.35000000000000003,518.8
