,,,aurc,aurc,aurc,auroc,auroc,auroc,brier,brier,ece,ece,sel_acc@0.25,sel_acc@0.25,sel_acc@0.25,sel_acc@0.50,sel_acc@0.50,sel_acc@0.50,sel_acc@0.75,sel_acc@0.75,sel_acc@0.75,sel_acc@1.00,sel_acc@1.00,sel_acc@1.00
regime,,,cross_seed,cv_5fold,single_feature,cross_seed,cv_5fold,single_feature,cross_seed,cv_5fold,cross_seed,cv_5fold,cross_seed,cv_5fold,single_feature,cross_seed,cv_5fold,single_feature,cross_seed,cv_5fold,single_feature,cross_seed,cv_5fold,single_feature
setting,predictor,feature_subset,,,,,,,,,,,,,,,,,,,,,,
fixed_k,anchor_score_noleak_sel,single,,,0.1643959607961466,,,0.8831667567266563,,,,,,,0.944,,,0.936,,,0.7106666666666667,,,0.587
fixed_k,cluster_size_sel,single,,,0.2878834223008563,,,0.7459215199376318,,,,,,,0.756,,,0.752,,,0.7173333333333334,,,0.587
fixed_k,group_top1_basin_share,single,,,0.2695699332319973,,,0.7123098943616948,,,,,,,0.78,,,0.752,,,0.676,,,0.587
fixed_k,logprob_avg_sel,single,,,0.23397607503065354,,,0.7553324451080926,,,,,,,0.864,,,0.77,,,0.6906666666666667,,,0.587
fixed_k,logreg:all,all,0.11175110507483016,0.11817978227812011,,0.9685230024213076,0.950229137362796,,0.0556184589913078,0.07653275732741868,0.028725110947712497,0.04987437268335073,1.0,1.0,,1.0,0.996,,0.76,0.744,,0.587,0.587,
fixed_k,logreg:self,self,0.2196705960276765,0.22768761757710648,,0.7853946071253263,0.7776769472550953,,0.19931425938874422,0.1912501291371712,0.11145194089424912,0.08500073118724605,0.824,0.852,,0.8,0.778,,0.708,0.7013333333333334,,0.587,0.587,
fixed_k,logreg:teacher,teacher,0.11496912653959906,0.12307933003322884,,0.9591945749512233,0.9414101331925372,,0.06069276787839213,0.07054706007604164,0.04517831953716887,0.029930577857304567,1.0,0.992,,1.0,0.996,,0.748,0.7386666666666667,,0.587,0.587,
fixed_k,mlp:all,all,0.11752431633043006,0.11708055921537558,,0.9544200205419275,0.9530546836006947,,0.08284546036125523,0.06839157603464648,0.06770560255775564,0.04727094709692359,1.0,1.0,,0.972,0.99,,0.752,0.748,,0.587,0.587,
fixed_k,neg_group_basin_entropy,single,,,0.26772255850872173,,,0.7170473248058211,,,,,,,0.78,,,0.752,,,0.6866666666666666,,,0.587
fixed_k,neg_qwen_only_stable_mass_sel,single,,,0.1770413196166505,,,0.8311808308343406,,,,,,,0.94,,,0.88,,,0.688,,,0.587
fixed_k,neg_semantic_entropy_set_sel,single,,,0.2679532295644611,,,0.7574691355478466,,,,,,,0.788,,,0.776,,,0.712,,,0.587
fixed_k,neg_token_mean_entropy_sel,single,,,0.22522969345716592,,,0.7725373405216329,,,,,,,0.856,,,0.784,,,0.692,,,0.587
fixed_k,teacher_best_similarity_sel,single,,,0.14738275953020943,,,0.9000251617986148,,,,,,,0.948,,,0.926,,,0.7386666666666667,,,0.587
fixed_k,teacher_support_mass_sel,single,,,0.15661549153560575,,,0.8847135886087175,,,,,,,0.94,,,0.936,,,0.724,,,0.587
fixed_k,verifier_score_v05_sel,single,,,0.5447706735188421,,,0.3702166802100391,,,,,,,0.364,,,0.458,,,0.5733333333333334,,,0.587
sample0,anchor_score_noleak_sel,single,,,0.1846200901475214,,,0.8855722101903569,,,,,,,0.94,,,0.932,,,0.6973333333333334,,,0.566
sample0,cluster_size_sel,single,,,0.29423617786061296,,,0.7639205516926935,,,,,,,0.756,,,0.754,,,0.704,,,0.566
sample0,group_top1_basin_share,single,,,0.4458774369671784,,,0.5,,,,,,,0.548,,,0.58,,,0.568,,,0.566
sample0,logprob_avg_sel,single,,,0.2404583419258568,,,0.7712502646105748,,,,,,,0.864,,,0.762,,,0.672,,,0.566
