probe,layer,regime,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
SEPs_ridge,27,cv_5fold,1000,0.566,0.7470241487681359,0.254312307360185,0.84,0.736,0.656,,
SEPs_ridge,27,cross_seed,1000,0.566,0.8021527087980982,0.2313191600758303,0.836,0.786,0.6986666666666667,,
SEPs_logreg,24,cv_5fold,1000,0.566,0.7893129895295632,0.22018246962735544,0.9,0.79,0.66,0.22589381089939492,0.19433720093653728
SEPs_logreg,20,cross_seed,1000,0.566,0.9617535946328832,0.1325059333292977,0.972,0.96,0.7426666666666667,0.05526189124242796,0.0523115726888658
DCP_mlp,20,cv_5fold,1000,0.566,0.7959648922831415,0.21426131126600223,0.896,0.788,0.6773333333333333,0.2354546817376243,0.2174701527557609
DCP_mlp,20,cross_seed,1000,0.566,0.9579961244728143,0.1332887112693423,0.984,0.952,0.7413333333333333,0.05599976936111146,0.05599889216234598
ARD_ridge,24,cv_5fold,1000,0.566,0.7742098321147678,0.23592324931418873,0.86,0.78,0.6693333333333333,0.19171005052243265,0.05603152307952767
ARD_ridge,20,cross_seed,1000,0.566,0.9244312908110923,0.15328737645592522,0.976,0.954,0.712,0.08876756025355659,0.04575984355527031
ARD_mlp,20,cv_5fold,1000,0.566,0.7897689339043494,0.22787373197898161,0.852,0.778,0.6786666666666666,0.18501386367693962,0.06233789456944677
ARD_mlp,24,cross_seed,1000,0.566,0.9222492713031867,0.1504347668575822,0.956,0.954,0.7106666666666667,0.0888891772918528,0.049947788994371314
