strategy,probe,threshold,cost,accuracy,frac_escalated,target_escalation_rate
always_qwen,,,1.0,0.33,0.0,
always_teacher,,,21.581921312544083,0.454,1.0,
probe_cascade,DCP_mlp,-1.0,1.0,0.33,0.0,0.0
probe_cascade,DCP_mlp,1.7149333912839253e-24,1.2158192131254406,0.332,0.01,0.01
probe_cascade,DCP_mlp,2.9594915696522033e-21,1.431638426250882,0.336,0.02,0.02
probe_cascade,DCP_mlp,4.095554244232023e-20,1.6474576393763227,0.338,0.03,0.03
probe_cascade,DCP_mlp,1.2769890839887218e-19,1.8632768525017633,0.342,0.04,0.04
probe_cascade,DCP_mlp,4.710754051841155e-19,2.079096065627204,0.342,0.05,0.05
probe_cascade,DCP_mlp,2.3998408776849744e-18,2.294915278752645,0.344,0.06,0.06
probe_cascade,DCP_mlp,3.452938015113838e-17,2.5107344918780856,0.346,0.07,0.07
probe_cascade,DCP_mlp,1.172340064051065e-16,2.7265537050035262,0.346,0.08,0.08
probe_cascade,DCP_mlp,2.7479185191519575e-16,2.9423729181289673,0.348,0.09,0.09
probe_cascade,DCP_mlp,4.794088743879676e-16,3.1581921312544083,0.35,0.1,0.1
probe_cascade,DCP_mlp,9.096251414586737e-16,3.374011344379849,0.352,0.11,0.11
probe_cascade,DCP_mlp,3.670319053566439e-15,3.58983055750529,0.352,0.12,0.12
probe_cascade,DCP_mlp,8.95374696423517e-15,3.8056497706307306,0.358,0.13,0.13
probe_cascade,DCP_mlp,1.2726398727842863e-14,4.021468983756172,0.362,0.14,0.14
probe_cascade,DCP_mlp,2.8822219218634285e-14,4.237288196881613,0.362,0.15,0.15
probe_cascade,DCP_mlp,4.8049674184142214e-14,4.4531074100070525,0.364,0.16,0.16
probe_cascade,DCP_mlp,1.0153673976371005e-13,4.668926623132494,0.366,0.17,0.17
probe_cascade,DCP_mlp,1.586687121209358e-13,4.884745836257935,0.364,0.18,0.18
probe_cascade,DCP_mlp,6.785003976847106e-13,5.100565049383375,0.37,0.19,0.19
probe_cascade,DCP_mlp,1.45273721437883e-12,5.316384262508817,0.374,0.2,0.2
probe_cascade,DCP_mlp,1.664818207337132e-12,5.532203475634257,0.38,0.21,0.21
