target_acc,probe,cheapest_cost,savings_vs_always_teacher,always_qwen_meets
0.3,DCP-MLP (ours),1.00 (esc=0%),+95%,✓
0.3,SEPs-LR,1.00 (esc=0%),+95%,✓
0.3,SEPs-Ridge (Kossen 2024),1.00 (esc=0%),+95%,✓
0.4,DCP-MLP (ours),8.77 (esc=36%),+59%,✗
0.4,SEPs-LR,10.28 (esc=43%),+52%,✗
0.4,SEPs-Ridge (Kossen 2024),8.99 (esc=37%),+58%,✗
0.45,DCP-MLP (ours),20.42 (esc=90%),+5%,✗
0.45,SEPs-LR,16.54 (esc=72%),+23%,✗
0.45,SEPs-Ridge (Kossen 2024),21.07 (esc=93%),+2%,✗
0.5,DCP-MLP (ours),—,—,✗
0.5,SEPs-LR,—,—,✗
0.5,SEPs-Ridge (Kossen 2024),—,—,✗
0.55,DCP-MLP (ours),—,—,✗
0.55,SEPs-LR,—,—,✗
0.55,SEPs-Ridge (Kossen 2024),—,—,✗
0.6,DCP-MLP (ours),—,—,✗
0.6,SEPs-LR,—,—,✗
0.6,SEPs-Ridge (Kossen 2024),—,—,✗
0.65,DCP-MLP (ours),—,—,✗
0.65,SEPs-LR,—,—,✗
0.65,SEPs-Ridge (Kossen 2024),—,—,✗
