strategy,probe,threshold,cost,accuracy,frac_escalated,target_escalation_rate
always_qwen,,,1.0,0.328,0.0,
always_teacher,,,17.402853494808998,0.472,1.0,
probe_cascade,DCP_mlp,-0.9999999999998874,1.0,0.328,0.0,0.0
probe_cascade,DCP_mlp,4.3709737801433943e-10,1.1740285349480901,0.334,0.01,0.01
probe_cascade,DCP_mlp,2.5390894631271975e-09,1.3480570698961798,0.334,0.02,0.02
probe_cascade,DCP_mlp,7.974284503831086e-09,1.5220856048442697,0.338,0.03,0.03
probe_cascade,DCP_mlp,4.936184751613838e-08,1.6961141397923598,0.34,0.04,0.04
probe_cascade,DCP_mlp,4.6530394968158396e-07,1.87014267474045,0.344,0.05,0.05
probe_cascade,DCP_mlp,1.51467004116057e-06,2.04417120968854,0.348,0.06,0.06
probe_cascade,DCP_mlp,1.3329687626537684e-05,2.2181997446366295,0.352,0.07,0.07
probe_cascade,DCP_mlp,2.5104435262619518e-05,2.3922282795847196,0.35,0.08,0.08
probe_cascade,DCP_mlp,4.016128281364215e-05,2.5662568145328097,0.352,0.09,0.09
probe_cascade,DCP_mlp,8.725538355065518e-05,2.7402853494809,0.354,0.1,0.1
probe_cascade,DCP_mlp,0.000129346493485994,2.9143138844289895,0.354,0.11,0.11
probe_cascade,DCP_mlp,0.000221234167111056,3.0883424193770797,0.358,0.12,0.12
probe_cascade,DCP_mlp,0.000353519868804084,3.2623709543251698,0.354,0.13,0.13
probe_cascade,DCP_mlp,0.0005690833367407184,3.43639948927326,0.354,0.14,0.14
probe_cascade,DCP_mlp,0.0010072603647130593,3.6104280242213496,0.354,0.15,0.15
probe_cascade,DCP_mlp,0.0017039758292957334,3.7844565591694397,0.358,0.16,0.16
probe_cascade,DCP_mlp,0.0024772776919416914,3.958485094117529,0.356,0.17,0.17
probe_cascade,DCP_mlp,0.0033937502885236816,4.1325136290656195,0.356,0.18,0.18
probe_cascade,DCP_mlp,0.004601562162861204,4.30654216401371,0.358,0.19,0.19
probe_cascade,DCP_mlp,0.008774725906550823,4.4805706989618,0.362,0.2,0.2
probe_cascade,DCP_mlp,0.012046030629426224,4.65459923390989,0.364,0.21,0.21
probe_cascade,DCP_mlp,0.01746118366718285,4.828627768857979,0.368,0.22,0.22
probe_cascade,DCP_mlp,0.02563525328412645,5.002656303806069,0.37,0.23,0.23
probe_cascade,DCP_mlp,0.028859882727265335,5.176684838754159,0.372,0.24,0.24
probe_cascade,DCP_mlp,0.03838941175490615,5.350713373702249,0.372,0.25,0.25
probe_cascade,DCP_mlp,0.05298500649631027,5.5247419086503395,0.372,0.26,0.26
probe_cascade,DCP_mlp,0.0687862294912338,5.69877044359843,0.376,0.27,0.27
probe_cascade,DCP_mlp,0.07367860674858098,5.87279897854652,0.376,0.28,0.28
probe_cascade,DCP_mlp,0.09372793719172469,6.046827513494611,0.376,0.29,0.29
