strategy,probe,threshold,cost,accuracy,frac_escalated,target_escalation_rate
always_qwen,,,1.0,0.566,0.0,
always_teacher,,,14.080246913580247,0.764,1.0,
probe_cascade,DCP_mlp,-0.9999999999999984,1.0,0.566,0.0,0.0
probe_cascade,DCP_mlp,1.9339212773783566e-13,1.1408024691358025,0.566,0.01,0.01
probe_cascade,DCP_mlp,3.360635186799853e-11,1.281604938271605,0.566,0.02,0.02
probe_cascade,DCP_mlp,8.206931106924386e-11,1.4224074074074073,0.569,0.03,0.03
probe_cascade,DCP_mlp,7.540652902093824e-10,1.5632098765432096,0.569,0.04,0.04
probe_cascade,DCP_mlp,3.161763073578075e-09,1.7040123456790122,0.569,0.05,0.05
probe_cascade,DCP_mlp,6.2120746946447974e-09,1.8448148148148147,0.575,0.06,0.06
probe_cascade,DCP_mlp,2.1654074906507525e-08,1.9856172839506174,0.577,0.07,0.07
probe_cascade,DCP_mlp,6.275773870356719e-08,2.1264197530864197,0.583,0.08,0.08
probe_cascade,DCP_mlp,1.5692804751665786e-07,2.2672222222222227,0.586,0.09,0.09
probe_cascade,DCP_mlp,2.6680884559482374e-07,2.4080246913580243,0.588,0.1,0.1
probe_cascade,DCP_mlp,4.830401658750816e-07,2.5488271604938273,0.592,0.11,0.11
probe_cascade,DCP_mlp,6.722912303303019e-07,2.6896296296296294,0.597,0.12,0.12
probe_cascade,DCP_mlp,1.5779952013872391e-06,2.830432098765432,0.601,0.13,0.13
probe_cascade,DCP_mlp,3.8752402087993695e-06,2.971234567901234,0.606,0.14,0.14
probe_cascade,DCP_mlp,1.0134816375284558e-05,3.112037037037037,0.612,0.15,0.15
probe_cascade,DCP_mlp,1.284466496144887e-05,3.25283950617284,0.614,0.16,0.16
probe_cascade,DCP_mlp,3.972250080551025e-05,3.393641975308642,0.622,0.17,0.17
probe_cascade,DCP_mlp,5.2281821044743976e-05,3.5344444444444445,0.629,0.18,0.18
probe_cascade,DCP_mlp,6.926772533915938e-05,3.6752469135802466,0.634,0.19,0.19
probe_cascade,DCP_mlp,0.00012929162185166003,3.816049382716049,0.642,0.2,0.2
probe_cascade,DCP_mlp,0.0003274302350473099,3.956851851851852,0.646,0.21,0.21
probe_cascade,DCP_mlp,0.000396898848703082,4.097654320987655,0.65,0.22,0.22
probe_cascade,DCP_mlp,0.0006708481704117458,4.238456790123457,0.652,0.23,0.23
probe_cascade,DCP_mlp,0.00081998439272858,4.379259259259259,0.658,0.24,0.24
probe_cascade,DCP_mlp,0.00095458944269915,4.520061728395062,0.662,0.25,0.25
probe_cascade,DCP_mlp,0.001263564627151888,4.660864197530865,0.662,0.26,0.26
probe_cascade,DCP_mlp,0.0021893198578617676,4.801666666666667,0.665,0.27,0.27
probe_cascade,DCP_mlp,0.003232556674629454,4.94246913580247,0.671,0.28,0.28
probe_cascade,DCP_mlp,0.004655352383851965,5.083271604938272,0.675,0.29,0.29
probe_cascade,DCP_mlp,0.008255643676966391,5.224074074074075,0.679,0.3,0.3
