strategy,threshold,cost,accuracy,label,dataset
always_Llama-3B,,0.42,0.326,Always Llama-3B (K=1),hotpotqa
always_Qwen-7B,,1.0,0.33,Always Qwen-7B (K=1),hotpotqa
always_Qwen-72B,,9.57,0.45,Always Qwen-72B (K=1),hotpotqa
always_72B_K8,,76.6,0.5,Always Qwen-72B K=8,hotpotqa
always_teacher,,50.0,1.0,Always Teacher API,hotpotqa
dcp_cascade,0.05,31.14766,0.38980000000000004,DCP cascade (th=0.05),hotpotqa
dcp_cascade,0.06918367346938775,32.32976,0.39619999999999994,DCP cascade (th=0.07),hotpotqa
dcp_cascade,0.08836734693877552,32.8145,0.39429999999999993,DCP cascade (th=0.09),hotpotqa
dcp_cascade,0.10755102040816326,33.33952000000001,0.40029999999999993,DCP cascade (th=0.11),hotpotqa
dcp_cascade,0.126734693877551,34.186080000000004,0.3987,DCP cascade (th=0.13),hotpotqa
dcp_cascade,0.14591836734693875,34.66482,0.3989,DCP cascade (th=0.15),hotpotqa
dcp_cascade,0.1651020408163265,35.03264,0.39909999999999995,DCP cascade (th=0.17),hotpotqa
dcp_cascade,0.18428571428571427,35.421600000000005,0.4012,DCP cascade (th=0.18),hotpotqa
dcp_cascade,0.20346938775510204,35.94461999999999,0.40329999999999994,DCP cascade (th=0.20),hotpotqa
dcp_cascade,0.2226530612244898,36.1381,0.4034,DCP cascade (th=0.22),hotpotqa
dcp_cascade,0.2418367346938775,36.46764,0.4035,DCP cascade (th=0.24),hotpotqa
dcp_cascade,0.26102040816326527,36.92924,0.4036,DCP cascade (th=0.26),hotpotqa
dcp_cascade,0.28020408163265303,37.45226,0.40579999999999994,DCP cascade (th=0.28),hotpotqa
dcp_cascade,0.2993877551020408,37.7818,0.406,DCP cascade (th=0.30),hotpotqa
dcp_cascade,0.3185714285714285,38.13048,0.406,DCP cascade (th=0.32),hotpotqa
dcp_cascade,0.33775510204081627,38.436879999999995,0.4061,DCP cascade (th=0.34),hotpotqa
dcp_cascade,0.35693877551020403,38.82584,0.4081,DCP cascade (th=0.36),hotpotqa
dcp_cascade,0.3761224489795918,39.002179999999996,0.4082,DCP cascade (th=0.38),hotpotqa
dcp_cascade,0.39530612244897956,39.002179999999996,0.4082,DCP cascade (th=0.40),hotpotqa
dcp_cascade,0.41448979591836727,39.32972,0.40829999999999994,DCP cascade (th=0.41),hotpotqa
dcp_cascade,0.43367346938775503,39.963660000000004,0.4085,DCP cascade (th=0.43),hotpotqa
dcp_cascade,0.4528571428571428,39.9848,0.4105,DCP cascade (th=0.45),hotpotqa
dcp_cascade,0.47204081632653055,40.50782,0.4107,DCP cascade (th=0.47),hotpotqa
dcp_cascade,0.4912244897959183,40.89878,0.40879999999999994,DCP cascade (th=0.49),hotpotqa
dcp_cascade,0.5104081632653061,41.619279999999996,0.4091,DCP cascade (th=0.51),hotpotqa
dcp_cascade,0.5295918367346938,41.79362,0.40920000000000006,DCP cascade (th=0.53),hotpotqa
dcp_cascade,0.5487755102040816,42.46984,0.4114,DCP cascade (th=0.55),hotpotqa
dcp_cascade,0.5679591836734693,42.79537999999999,0.4115,DCP cascade (th=0.57),hotpotqa
dcp_cascade,0.5871428571428571,43.01,0.4115,DCP cascade (th=0.59),hotpotqa
dcp_cascade,0.6063265306122448,43.64594,0.4116,DCP cascade (th=0.61),hotpotqa
dcp_cascade,0.6255102040816326,44.128679999999996,0.4096,DCP cascade (th=0.63),hotpotqa
dcp_cascade,0.6446938775510204,44.47536,0.40979999999999994,DCP cascade (th=0.64),hotpotqa
dcp_cascade,0.6638775510204081,44.4965,0.40979999999999994,DCP cascade (th=0.66),hotpotqa
dcp_cascade,0.6830612244897959,44.84517999999999,0.4099,DCP cascade (th=0.68),hotpotqa
dcp_cascade,0.7022448979591837,45.212999999999994,0.41,DCP cascade (th=0.70),hotpotqa
dcp_cascade,0.7214285714285714,45.54053999999999,0.4101,DCP cascade (th=0.72),hotpotqa
dcp_cascade,0.7406122448979592,45.54053999999999,0.4101,DCP cascade (th=0.74),hotpotqa
dcp_cascade,0.759795918367347,45.73801999999999,0.4101,DCP cascade (th=0.76),hotpotqa
dcp_cascade,0.7789795918367346,46.23989999999999,0.41219999999999996,DCP cascade (th=0.78),hotpotqa
dcp_cascade,0.7981632653061224,46.56743999999999,0.41219999999999996,DCP cascade (th=0.80),hotpotqa
dcp_cascade,0.8173469387755101,47.06931999999999,0.41429999999999995,DCP cascade (th=0.82),hotpotqa
dcp_cascade,0.8365306122448979,47.22251999999999,0.41429999999999995,DCP cascade (th=0.84),hotpotqa
dcp_cascade,0.8557142857142856,48.20914,0.4164,DCP cascade (th=0.86),hotpotqa
dcp_cascade,0.8748979591836734,49.07884,0.41679999999999995,DCP cascade (th=0.87),hotpotqa
dcp_cascade,0.8940816326530612,49.09797999999999,0.41679999999999995,DCP cascade (th=0.89),hotpotqa
dcp_cascade,0.9132653061224489,49.948539999999994,0.4171,DCP cascade (th=0.91),hotpotqa
dcp_cascade,0.9324489795918367,50.532979999999995,0.42129999999999995,DCP cascade (th=0.93),hotpotqa
dcp_cascade,0.9516326530612245,51.80286,0.4235,DCP cascade (th=0.95),hotpotqa
dcp_cascade,0.9708163265306122,53.452479999999994,0.42779999999999996,DCP cascade (th=0.97),hotpotqa
dcp_cascade,0.99,58.009679999999996,0.43879999999999997,DCP cascade (th=0.99),hotpotqa
random_cascade,0.0,87.58999999999999,0.47749999999999987,Random cascade (p=0.00),hotpotqa
random_cascade,0.05,75.65247600000001,0.4613349999999999,Random cascade (p=0.05),hotpotqa
random_cascade,0.1,64.62966700000001,0.4452249999999999,Random cascade (p=0.10),hotpotqa
random_cascade,0.15000000000000002,55.266878,0.43243500000000007,Random cascade (p=0.15),hotpotqa
random_cascade,0.2,46.739114,0.41748499999999994,Random cascade (p=0.20),hotpotqa
random_cascade,0.25,39.374286999999995,0.411205,Random cascade (p=0.25),hotpotqa
random_cascade,0.30000000000000004,32.75792,0.39774,Random cascade (p=0.30),hotpotqa
random_cascade,0.35000000000000003,27.061448999999993,0.388845,Random cascade (p=0.35),hotpotqa
random_cascade,0.4,21.736549999999998,0.37870499999999996,Random cascade (p=0.40),hotpotqa
random_cascade,0.45,16.771324999999997,0.37073500000000004,Random cascade (p=0.45),hotpotqa
random_cascade,0.5,12.842388,0.35897500000000004,Random cascade (p=0.50),hotpotqa
random_cascade,0.55,9.819195999999998,0.35941999999999996,Random cascade (p=0.55),hotpotqa
random_cascade,0.6000000000000001,7.180575999999999,0.351275,Random cascade (p=0.60),hotpotqa
random_cascade,0.65,5.322974,0.34031500000000003,Random cascade (p=0.65),hotpotqa
random_cascade,0.7000000000000001,3.4789969999999997,0.33872,Random cascade (p=0.70),hotpotqa
random_cascade,0.75,2.4170260000000003,0.33529500000000007,Random cascade (p=0.75),hotpotqa
random_cascade,0.8,1.6441879999999998,0.33302499999999996,Random cascade (p=0.80),hotpotqa
random_cascade,0.8500000000000001,1.0272960000000002,0.32991499999999996,Random cascade (p=0.85),hotpotqa
random_cascade,0.9,0.6312849999999999,0.326805,Random cascade (p=0.90),hotpotqa
random_cascade,0.9500000000000001,0.4918540000000001,0.3262,Random cascade (p=0.95),hotpotqa
random_cascade,1.0,0.42000000000000004,0.32599999999999996,Random cascade (p=1.00),hotpotqa
oracle_cascade,,33.01256,1.0,Oracle cascade (cheat),hotpotqa
