base,dataset,probe,layer,norm_depth,auroc
qwen7b,id,DCP_mlp,20,0.7142857142857143,0.7959648922831415
qwen7b,id,SEPs_logreg,20,0.7142857142857143,0.7864551953233134
qwen7b,id,SEPs_ridge,20,0.7142857142857143,0.7201722818387586
qwen7b,id,ARD_mlp,20,0.7142857142857143,0.7897689339043494
qwen7b,id,ARD_ridge,20,0.7142857142857143,0.7488479262672811
qwen7b,hotpotqa,DCP_mlp,20,0.7142857142857143,0.7214654002713704
qwen7b,hotpotqa,SEPs_logreg,20,0.7142857142857143,0.6752781546811399
qwen7b,hotpotqa,SEPs_ridge,20,0.7142857142857143,0.4890456806874717
qwen7b,nq,DCP_mlp,20,0.7142857142857143,0.6672927555168409
qwen7b,nq,SEPs_logreg,20,0.7142857142857143,0.6614220383275261
qwen7b,nq,SEPs_ridge,20,0.7142857142857143,0.5671820557491289
llama3b,id,DCP_mlp,20,0.7142857142857143,0.7875909853283615
llama3b,id,SEPs_logreg,20,0.7142857142857143,0.7592695119766817
llama3b,id,SEPs_ridge,20,0.7142857142857143,0.7052156779730016
llama3b,id,ARD_mlp,20,0.7142857142857143,0.7848756737392323
llama3b,id,ARD_ridge,20,0.7142857142857143,0.745981990197196
llama3b,hotpotqa,DCP_mlp,20,0.7142857142857143,0.6560048060293823
llama3b,hotpotqa,SEPs_logreg,20,0.7142857142857143,0.495894849902605
llama3b,hotpotqa,SEPs_ridge,20,0.7142857142857143,0.5175037774662758
llama3b,nq,DCP_mlp,20,0.7142857142857143,0.5832878953107961
llama3b,nq,SEPs_logreg,20,0.7142857142857143,0.5866315992045673
llama3b,nq,SEPs_ridge,20,0.7142857142857143,0.4976906793251651
qwen72b,id,DCP_mlp,56,0.7,0.8336372962498575
qwen72b,id,SEPs_logreg,56,0.7,0.8233541222256597
qwen72b,id,SEPs_ridge,56,0.7,0.7743401019361352
qwen72b,id,ARD_mlp,56,0.7,0.8423735161453159
qwen72b,id,ARD_ridge,56,0.7,0.8130139551546139
qwen72b,hotpotqa,DCP_mlp,56,0.7,0.729519191919192
qwen72b,hotpotqa,SEPs_logreg,56,0.7,0.7909979797979798
qwen72b,hotpotqa,SEPs_ridge,56,0.7,0.5892363636363637
qwen72b,nq,DCP_mlp,56,0.7,0.6479493046998768
qwen72b,nq,SEPs_logreg,56,0.7,0.7009329343425453
qwen72b,nq,SEPs_ridge,56,0.7,0.5596805940055368
