base,dataset,probe_a,probe_b,mean_diff,ci_low,ci_high,p_value,regime
qwen7b,id,DCP_mlp@L20,SEPs_ridge@L27,0.0493349026385429,0.0074833180636378,0.094021194297974,0.021,cv_5fold
qwen7b,id,DCP_mlp@L20,SEPs_logreg@L24,0.0071270521085425,-0.025850840667593,0.0395483115450472,0.642,cv_5fold
qwen7b,id,DCP_mlp@L20,ARD_ridge@L24,0.0214650637022344,-0.0146038682524848,0.059086786030711,0.262,cv_5fold
qwen7b,id,DCP_mlp@L20,ARD_mlp@L20,0.0068004769954295,-0.0203918959427053,0.0345956664345792,0.632,cv_5fold
qwen7b,id,DCP_mlp@L20,SEPs_ridge@L27,0.1558510729746563,0.1184981229783801,0.1935217079186009,0.0,cross_seed
qwen7b,id,DCP_mlp@L20,SEPs_logreg@L20,-0.0038616671737089,-0.0096268781144422,0.0014705680059501,0.159,cross_seed
qwen7b,id,DCP_mlp@L20,ARD_ridge@L20,0.0337131658444287,0.0163105498347972,0.0523028927240515,0.0,cross_seed
qwen7b,id,DCP_mlp@L20,ARD_mlp@L24,0.0356821809838984,0.0182584219754305,0.055321872715792,0.0,cross_seed
qwen7b,hotpotqa,DCP_mlp@L16,SEPs_ridge@L16,0.0466748082587639,-0.0019853798025571,0.0991284735479262,0.063,
qwen7b,hotpotqa,DCP_mlp@L16,SEPs_logreg@L16,0.006584828747121,-0.0234226398651065,0.0364056629323093,0.688,
qwen7b,nq,DCP_mlp@L20,SEPs_ridge@L16,0.0497880215753289,-0.0068252382312293,0.1039944477083289,0.081,
qwen7b,nq,DCP_mlp@L20,SEPs_logreg@L20,0.0065003502551272,-0.027372446418737,0.0433874640160601,0.72,
llama3b,id,DCP_mlp@L28,SEPs_ridge@L27,0.0516438967581297,0.0146548876828702,0.0898511437299991,0.009,cv_5fold
llama3b,id,DCP_mlp@L28,SEPs_logreg@L27,-0.0083346271537631,-0.0301181583072494,0.0126064255765738,0.429,cv_5fold
llama3b,id,DCP_mlp@L28,ARD_ridge@L27,-0.0024768859962429,-0.0296206684185699,0.0248130914155303,0.846,cv_5fold
llama3b,id,DCP_mlp@L28,ARD_mlp@L28,0.0009927898181819,-0.0241765549264032,0.0253224619957551,0.94,cv_5fold
llama3b,id,DCP_mlp@L27,SEPs_ridge@L27,0.1549665314664274,0.117442257447811,0.1948592810677455,0.0,cross_seed
llama3b,id,DCP_mlp@L27,SEPs_logreg@L16,-0.0041476579577045,-0.0112528824014531,0.0026793395987103,0.242,cross_seed
llama3b,id,DCP_mlp@L27,ARD_ridge@L4,0.0318214924916206,0.0144802970787126,0.0502981321834377,0.0,cross_seed
llama3b,id,DCP_mlp@L27,ARD_mlp@L24,0.0331103446318241,0.0158637010146107,0.0522342070331148,0.0,cross_seed
llama3b,hotpotqa,DCP_mlp@L16,SEPs_ridge@L16,-0.0073600671189972,-0.0643350329613191,0.0516820567915446,0.803,
llama3b,hotpotqa,DCP_mlp@L16,SEPs_logreg@L16,-0.0197477602968863,-0.0484489562384781,0.0093124988049483,0.171,
llama3b,nq,DCP_mlp@L24,SEPs_ridge@L12,0.0741952384670702,0.0045226337106474,0.1406712627797122,0.037,
llama3b,nq,DCP_mlp@L24,SEPs_logreg@L12,0.0081489545304968,-0.0417798203089184,0.0599144502334006,0.76,
qwen72b,id,DCP_mlp@L64,SEPs_ridge@L72,0.0610735083781993,0.0261753632661873,0.0974597900407615,0.0,cv_5fold
qwen72b,id,DCP_mlp@L64,SEPs_logreg@L64,0.0048414264487865,-0.0091193607309453,0.0183827695252872,0.495,cv_5fold
qwen72b,id,DCP_mlp@L64,ARD_ridge@L72,0.0040025041497277,-0.0166510213900905,0.0255943181850213,0.713,cv_5fold
qwen72b,id,DCP_mlp@L64,ARD_mlp@L56,-0.0029331274058247,-0.0259417738038641,0.0215275061032562,0.815,cv_5fold
qwen72b,id,DCP_mlp@L32,SEPs_ridge@L72,0.1565204426649492,0.1182458431238002,0.196949650883668,0.0,cross_seed
qwen72b,id,DCP_mlp@L32,SEPs_logreg@L64,-0.0043490631521294,-0.0122750778194247,0.0033852356882711,0.271,cross_seed
qwen72b,id,DCP_mlp@L32,ARD_ridge@L40,0.033417555821093,0.0170662999395617,0.0520939010258328,0.0,cross_seed
qwen72b,id,DCP_mlp@L32,ARD_mlp@L72,0.0310510853365443,0.0145222847046501,0.0495874761822783,0.0,cross_seed
qwen72b,hotpotqa,DCP_mlp@L64,SEPs_ridge@L56,0.1817088541739441,0.1224608165518099,0.2424008634694558,0.0,
qwen72b,hotpotqa,DCP_mlp@L64,SEPs_logreg@L56,-0.0194975014693556,-0.0510804946443524,0.0121521489070886,0.221,
qwen72b,nq,DCP_mlp@L64,SEPs_ridge@L48,0.0576168970859879,0.0025446049599806,0.113258091743449,0.046,
qwen72b,nq,DCP_mlp@L64,SEPs_logreg@L56,-0.0466388583529241,-0.0759316164599155,-0.0156768827923628,0.004,
