probe,layer,regime,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
SEPs_ridge,4,cv_5fold,1000,0.566,0.6007637068277669,0.3613464355017475,0.692,0.642,0.5986666666666667,,
SEPs_ridge,4,cross_seed,1000,0.566,0.7546612170458061,0.2780964166389164,0.748,0.74,0.6986666666666667,,
SEPs_logreg,4,cv_5fold,1000,0.566,0.6140105192880754,0.3276971069217941,0.736,0.632,0.6133333333333333,0.36328638712027156,0.3470726128999365
SEPs_logreg,4,cross_seed,1000,0.566,0.9503794108547329,0.1427122843908103,0.956,0.954,0.7333333333333333,0.054712333112398315,0.04605445627146508
DCP_mlp,4,cv_5fold,1000,0.566,0.6450961554118969,0.32991260553275076,0.708,0.66,0.624,0.350735431552632,0.34187293682433006
DCP_mlp,4,cross_seed,1000,0.566,0.945146227874485,0.14665848107195123,0.956,0.95,0.736,0.05599410505705573,0.055946869655310205
ARD_ridge,4,cv_5fold,1000,0.566,0.5795053003533569,0.38588516203358214,0.64,0.616,0.612,0.24208674016266898,0.054790501025760545
ARD_ridge,4,cross_seed,1000,0.566,0.9249075898454675,0.15130676998797452,0.976,0.954,0.712,0.08872638508988429,0.04698956140360562
ARD_mlp,4,cv_5fold,1000,0.566,0.6290322580645161,0.3446282717606714,0.692,0.656,0.6226666666666667,0.23335610516979358,0.033803966476514936
ARD_mlp,4,cross_seed,1000,0.566,0.9182312615003827,0.1529132562591857,0.972,0.958,0.7106666666666667,0.08950261761372144,0.04786021746735644
SEPs_ridge,8,cv_5fold,1000,0.566,0.6573333767566072,0.3360890529590299,0.696,0.698,0.6306666666666667,,
SEPs_ridge,8,cross_seed,1000,0.566,0.7673950920844798,0.2551495520524375,0.768,0.752,0.6986666666666667,,
SEPs_logreg,8,cv_5fold,1000,0.566,0.7481721515689372,0.24690572353023504,0.86,0.742,0.66,0.26150589036366545,0.23718419338960012
SEPs_logreg,8,cross_seed,1000,0.566,0.9582729478432203,0.13547557416554906,0.968,0.956,0.7413333333333333,0.05474782968296123,0.048474891757943186
DCP_mlp,8,cv_5fold,1000,0.566,0.72349416228363,0.2779649775319779,0.804,0.756,0.6466666666666666,0.2859751402482648,0.2685750530125576
DCP_mlp,8,cross_seed,1000,0.566,0.9492253016560552,0.1401100296428443,0.964,0.952,0.7346666666666667,0.05660202518213448,0.056606506190944
ARD_ridge,8,cv_5fold,1000,0.566,0.6879467847779713,0.29361168627370077,0.748,0.702,0.6386666666666667,0.2209506189692828,0.04876581346449904
ARD_ridge,8,cross_seed,1000,0.566,0.9248343130709483,0.15299861605720189,0.976,0.954,0.712,0.08866490279227926,0.04704941432526475
ARD_mlp,8,cv_5fold,1000,0.566,0.7422855840158928,0.27317071406765053,0.808,0.752,0.6573333333333333,0.20140295054875879,0.06269931268065208
ARD_mlp,8,cross_seed,1000,0.566,0.917673543827653,0.15817418323197063,0.964,0.956,0.7133333333333334,0.08983753584007302,0.04065185266627111
SEPs_ridge,12,cv_5fold,1000,0.566,0.6936379475989644,0.3188678441314915,0.736,0.71,0.6573333333333333,,
SEPs_ridge,12,cross_seed,1000,0.566,0.769129309081435,0.2671503313469974,0.776,0.766,0.6986666666666667,,
SEPs_logreg,12,cv_5fold,1000,0.566,0.7077640813535034,0.2709579656344582,0.828,0.692,0.6466666666666666,0.30367848481067194,0.28410172230957154
SEPs_logreg,12,cross_seed,1000,0.566,0.9582525931836317,0.13509247412598085,0.98,0.956,0.7373333333333333,0.05475009158985631,0.04890132745790502
DCP_mlp,12,cv_5fold,1000,0.566,0.7253382944423638,0.269335560361307,0.796,0.728,0.672,0.294531952374981,0.2878671642229297
DCP_mlp,12,cross_seed,1000,0.566,0.9556797642116233,0.14041239020715324,0.968,0.96,0.7413333333333333,0.05599905372100082,0.055994422415633086
ARD_ridge,12,cv_5fold,1000,0.566,0.7102310660956506,0.2840622834431269,0.748,0.704,0.6653333333333333,0.21387186606769404,0.07286000462808238
ARD_ridge,12,cross_seed,1000,0.566,0.9243742977642442,0.15246018515282206,0.976,0.954,0.712,0.08872401655504768,0.047720397204429416
ARD_mlp,12,cv_5fold,1000,0.566,0.7539773004836268,0.2608099782223295,0.84,0.758,0.6586666666666666,0.19940387495709622,0.04491361873436582
ARD_mlp,12,cross_seed,1000,0.566,0.9210076370682776,0.15808408769684407,0.964,0.954,0.7146666666666667,0.0890761588541393,0.04496851550890453
SEPs_ridge,16,cv_5fold,1000,0.566,0.7022601814007262,0.3010922284728721,0.764,0.706,0.6666666666666666,,
SEPs_ridge,16,cross_seed,1000,0.566,0.7676678445229681,0.2551246926557905,0.756,0.754,0.6986666666666667,,
SEPs_logreg,16,cv_5fold,1000,0.566,0.770692546937845,0.253461457552412,0.812,0.76,0.6853333333333333,0.24721681002039964,0.2350175560757488
SEPs_logreg,16,cross_seed,1000,0.566,0.9607277197896142,0.13760031127512873,0.984,0.96,0.7386666666666667,0.055194400390746565,0.051484444625458106
DCP_mlp,16,cv_5fold,1000,0.566,0.7902167364153001,0.23991624541573894,0.86,0.772,0.684,0.2357159894758417,0.21751410602831484
DCP_mlp,16,cross_seed,1000,0.566,0.9543852078617838,0.14207925630513668,0.972,0.954,0.7426666666666667,0.055999700989065544,0.05599777285250605
ARD_ridge,16,cv_5fold,1000,0.566,0.7230382179088437,0.2777907894149957,0.756,0.73,0.6626666666666666,0.2084479697036544,0.05257585346170503
ARD_ridge,16,cross_seed,1000,0.566,0.9246959013857451,0.15270181520128603,0.976,0.954,0.712,0.08876460710197873,0.04604579349932932
ARD_mlp,16,cv_5fold,1000,0.566,0.7889466056569671,0.23374662257600048,0.844,0.786,0.684,0.18442468642593227,0.03767533459762674
ARD_mlp,16,cross_seed,1000,0.566,0.9227418540652327,0.1491250173987117,0.968,0.956,0.7146666666666667,0.08900347450095009,0.05116721498959355
SEPs_ridge,20,cv_5fold,1000,0.566,0.7052156779730016,0.3004664715210912,0.728,0.706,0.6613333333333333,,
