probe,layer,regime,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
SEPs_ridge,27,cv_5fold,1000,0.566,0.7494585660549413,0.2628632566562299,0.788,0.74,0.68,,
SEPs_ridge,27,cross_seed,1000,0.566,0.8018880982234454,0.2327785392474541,0.836,0.8,0.6986666666666667,,
SEPs_logreg,27,cv_5fold,1000,0.566,0.8088290371431828,0.21436225898868616,0.904,0.788,0.6826666666666666,0.21700873052413444,0.1949754684402067
SEPs_logreg,16,cross_seed,1000,0.566,0.9607277197896142,0.13760031127512873,0.984,0.96,0.7386666666666667,0.055194400390746565,0.051484444625458106
DCP_mlp,28,cv_5fold,1000,0.566,0.8008540815163407,0.22354815125937244,0.872,0.79,0.68,0.22920584648903755,0.20833782671497647
DCP_mlp,27,cross_seed,1000,0.566,0.9566873198612625,0.13738080407142828,0.972,0.958,0.74,0.05599979305078695,0.055999042295631234
ARD_ridge,27,cv_5fold,1000,0.566,0.8034146976925958,0.21287337724775607,0.92,0.8,0.6773333333333333,0.18083263801554217,0.06048133060043693
ARD_ridge,4,cross_seed,1000,0.566,0.9249075898454675,0.15130676998797452,0.976,0.954,0.712,0.08872638508988429,0.04698956140360562
ARD_mlp,28,cv_5fold,1000,0.566,0.8000195404732051,0.21877352214123102,0.912,0.792,0.6653333333333333,0.18029497032605862,0.05003946026099606
ARD_mlp,24,cross_seed,1000,0.566,0.9234949764700134,0.1491667336855606,0.98,0.956,0.7133333333333334,0.08969976283127701,0.04671629525124636
