ood,probe,layer,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
hotpotqa,SEPs_ridge,4,500,0.32600000500679016,0.43232418852742527,0.7376106560153782,0.25600001215934753,0.2919999957084656,0.3199999928474426,,
hotpotqa,SEPs_logreg,4,500,0.32600000500679016,0.626385829495185,0.5662190521077608,0.5040000081062317,0.3959999978542328,0.36000001430511475,0.6496135904864614,0.656151305188373
hotpotqa,DCP_mlp,4,500,0.32600000500679016,0.6183211665544045,0.611055828132455,0.4000000059604645,0.41999998688697815,0.36800000071525574,0.3478621244430542,0.32438413806259636
hotpotqa,SEPs_ridge,8,500,0.32600000500679016,0.5487975824215834,0.6068214717717384,0.36000001430511475,0.35600000619888306,0.3440000116825104,,
hotpotqa,SEPs_logreg,8,500,0.32600000500679016,0.5566801987948518,0.609668524814815,0.4000000059604645,0.35199999809265137,0.335999995470047,0.31166623613311767,0.3139271189042809
hotpotqa,DCP_mlp,8,500,0.32600000500679016,0.6125138810507729,0.5741357502538709,0.4560000002384186,0.3840000033378601,0.35733333230018616,0.2830655574798584,0.2757561215711757
hotpotqa,SEPs_ridge,12,500,0.32600000500679016,0.5872822267936139,0.609584194605169,0.4480000138282776,0.3919999897480011,0.3440000116825104,,
hotpotqa,SEPs_logreg,12,500,0.32600000500679016,0.5942182010158199,0.6222635909317064,0.40799999237060547,0.4000000059604645,0.36533331871032715,0.3228185164240496,0.3084794522871036
hotpotqa,DCP_mlp,12,500,0.32600000500679016,0.6494875389124538,0.5796915019307284,0.46399998664855957,0.41999998688697815,0.37599998712539673,0.31235751509666443,0.3128930001845583
hotpotqa,SEPs_ridge,16,500,0.32600000500679016,0.6644335621051864,0.5432731491520948,0.4959999918937683,0.4320000112056732,0.36266666650772095,,
hotpotqa,SEPs_logreg,16,500,0.32600000500679016,0.6766670914419908,0.5376670053812465,0.4880000054836273,0.4399999976158142,0.3786666691303253,0.26898623118952397,0.25511024948815314
hotpotqa,DCP_mlp,16,500,0.32600000500679016,0.6570788807777029,0.5599540357333042,0.4320000112056732,0.4359999895095825,0.3786666691303253,0.3305177390575409,0.3136698612570763
hotpotqa,SEPs_ridge,20,500,0.32600000500679016,0.5175037774662758,0.6283035467040736,0.36800000071525574,0.3479999899864197,0.3199999928474426,,
hotpotqa,SEPs_logreg,20,500,0.32600000500679016,0.495894849902605,0.6620423659112744,0.3440000116825104,0.3319999873638153,0.3173333406448364,0.4589380531150326,0.44869558053589936
hotpotqa,DCP_mlp,20,500,0.32600000500679016,0.6560048060293823,0.5686263895407481,0.47999998927116394,0.4359999895095825,0.3786666691303253,0.2903274893760681,0.2651817911947146
hotpotqa,SEPs_ridge,24,500,0.32600000500679016,0.6173745244033424,0.5903698818198846,0.4320000112056732,0.40400001406669617,0.36800000071525574,,
hotpotqa,SEPs_logreg,24,500,0.32600000500679016,0.6055961114853179,0.5905791288109193,0.4480000138282776,0.3919999897480011,0.35199999809265137,0.3808375251291401,0.3662585736427864
hotpotqa,DCP_mlp,24,500,0.32600000500679016,0.64608326809998,0.5535559533092063,0.5120000243186951,0.41600000858306885,0.36800000071525574,0.36735719442367554,0.35217091228440406
hotpotqa,SEPs_ridge,27,500,0.32600000500679016,0.6330123245526207,0.5755176030437581,0.47999998927116394,0.40400001406669617,0.36533331871032715,,
hotpotqa,SEPs_logreg,27,500,0.32600000500679016,0.6036482132129399,0.5966123724519101,0.46399998664855957,0.3880000114440918,0.35733333230018616,0.3098714021317868,0.28641907423662155
hotpotqa,DCP_mlp,27,500,0.32600000500679016,0.6530738562924396,0.5755693875862575,0.4560000002384186,0.4399999976158142,0.3786666691303253,0.29782265424728394,0.26267357128858565
hotpotqa,SEPs_ridge,28,500,0.32600000500679016,0.6139884582476198,0.5907594009691833,0.4320000112056732,0.40400001406669617,0.36266666650772095,,
hotpotqa,SEPs_logreg,28,500,0.32600000500679016,0.618357575867907,0.5852419632133068,0.4399999976158142,0.4000000059604645,0.36533331871032715,0.30460314445754677,0.2776334623260224
hotpotqa,DCP_mlp,28,500,0.32600000500679016,0.6273688809597495,0.5774971130772559,0.4959999918937683,0.3919999897480011,0.35733333230018616,0.2714312672615051,0.24931568541750312
