base,dataset,probe,layer,n,base_acc,auroc,auprc,aurc,auarc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,cov@risk<=0.05,cov@risk<=0.10,cov@risk<=0.20,brier,brier_reliability,brier_resolution,brier_uncertainty,ece
qwen72b,id,DCP_mlp,64,500,0.568,0.8425599895670319,0.8770805521931031,0.1887851835836682,0.8092148164163319,0.944,0.824,0.6986666666666667,0.214,0.282,0.582,0.19511178585885045,0.03429564592582394,0.08294352590843498,0.245376,0.1824151394215393
qwen72b,id,SEPs_logreg,64,500,0.568,0.835860067814293,0.8650961869574714,0.19712601177581754,0.8008739882241824,0.904,0.816,0.696,0.09,0.324,0.552,0.19633125660737055,0.035020646252727716,0.08199719410307041,0.245376,0.17852953266579194
qwen72b,id,SEPs_ridge,72,500,0.568,0.7719907407407407,0.7978849649819856,0.24294669156456863,0.7550533084354314,0.856,0.772,0.6773333333333333,0.008,0.04,0.39,,,,,
qwen72b,id,ARD_mlp,64,500,0.568,0.8379140584246217,0.8605694081396424,0.199540615420903,0.798459384579097,0.896,0.816,0.7066666666666667,0.11,0.23,0.586,0.16080196339190375,0.004747111759026654,0.08822626568925693,0.245376,0.04740470606316068
qwen72b,id,ARD_ridge,72,500,0.568,0.8287037037037037,0.85914552888006,0.20135215291567682,0.7966478470843231,0.888,0.836,0.688,0.046,0.214,0.564,0.16679538370022154,0.006112442545551842,0.08485854488072912,0.245376,0.063071450156602
qwen72b,hotpotqa,DCP_mlp,64,500,0.44999998807907104,0.7714666666666666,0.7042427537273537,0.3546913897425471,0.6433086102574528,0.7680000066757202,0.6600000262260437,0.54666668176651,0.0,0.0,0.132,0.2582618254173117,0.06580661844926239,0.05329616924444511,0.24750000000000003,0.25354624012112614
qwen72b,hotpotqa,SEPs_logreg,56,500,0.44999998807907104,0.7909979797979798,0.7160284566382397,0.34591693563878667,0.6520830643612134,0.7519999742507935,0.6639999747276306,0.5546666383743286,0.0,0.0,0.152,0.23768412974568207,0.05016926075680549,0.05792094725926247,0.24750000000000003,0.21843595082009784
qwen72b,hotpotqa,SEPs_ridge,56,500,0.44999998807907104,0.5892363636363637,0.5227858563340828,0.4870683879230492,0.5109316120769508,0.5519999861717224,0.5239999890327454,0.47999998927116394,0.002,0.002,0.012,,,,,
qwen72b,nq,DCP_mlp,64,500,0.5059999823570251,0.6537661423244947,0.6160141254150754,0.39725998371636545,0.6007400162836345,0.6480000019073486,0.6119999885559082,0.5893333554267883,0.002,0.002,0.02,0.33666638234918594,0.11135703178065778,0.02260689981060809,0.249964,0.3240826338976621
qwen72b,nq,SEPs_logreg,56,500,0.5059999823570251,0.7009329343425453,0.6742965225717025,0.3528753688929773,0.6451246311070227,0.671999990940094,0.6520000100135803,0.6000000238418579,0.01,0.01,0.08,0.3008902036868091,0.08830090902326759,0.03640002183141297,0.249964,0.2885989284610001
qwen72b,nq,SEPs_ridge,48,500,0.5059999823570251,0.5970139700116817,0.5712935566353843,0.43753863011060645,0.5604613698893935,0.6000000238418579,0.5720000267028809,0.5519999861717224,0.0,0.0,0.0,,,,,
