ood,probe,layer,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
hotpotqa,SEPs_ridge,8,500,0.44999998807907104,0.5119030303030303,0.5203239525958576,0.47999998927116394,0.42399999499320984,0.4560000002384186,,
hotpotqa,SEPs_logreg,8,500,0.44999998807907104,0.49950707070707073,0.5620508182775372,0.41600000858306885,0.4440000057220459,0.4560000002384186,0.45982744592708025,0.4505493855840954
hotpotqa,DCP_mlp,8,500,0.44999998807907104,0.5677737373737373,0.5009548130203902,0.5120000243186951,0.5040000081062317,0.47466665506362915,0.42254871129989624,0.4210793406362646
hotpotqa,SEPs_ridge,16,500,0.44999998807907104,0.5400242424242425,0.516890802838182,0.5040000081062317,0.46000000834465027,0.46399998664855957,,
hotpotqa,SEPs_logreg,16,500,0.44999998807907104,0.520759595959596,0.540418637174798,0.47200000286102295,0.47600001096725464,0.4560000002384186,0.4236337285610178,0.394072802996158
hotpotqa,DCP_mlp,16,500,0.44999998807907104,0.5737939393939394,0.4789837464049349,0.5600000023841858,0.5,0.47200000286102295,0.40645599365234375,0.4029655204443261
hotpotqa,SEPs_ridge,24,500,0.44999998807907104,0.4564525252525253,0.5913450565949331,0.37599998712539673,0.4359999895095825,0.42933332920074463,,
hotpotqa,SEPs_logreg,24,500,0.44999998807907104,0.4954666666666667,0.5615242023487881,0.4320000112056732,0.4399999976158142,0.4586666524410248,0.43011612454835474,0.42671195482772756
hotpotqa,DCP_mlp,24,500,0.44999998807907104,0.6764444444444444,0.43807321340290983,0.6639999747276306,0.5960000157356262,0.5120000243186951,0.402459055185318,0.4066275348230265
hotpotqa,SEPs_ridge,32,500,0.44999998807907104,0.5466989898989898,0.5265254178128078,0.47200000286102295,0.492000013589859,0.46399998664855957,,
hotpotqa,SEPs_logreg,32,500,0.44999998807907104,0.6253575757575758,0.44713828213087853,0.6159999966621399,0.5400000214576721,0.4959999918937683,0.38407576865793297,0.3796643676670353
hotpotqa,DCP_mlp,32,500,0.44999998807907104,0.6929939393939394,0.4154410182948372,0.6480000019073486,0.6079999804496765,0.5253333449363708,0.34753504395484924,0.3394561111684888
hotpotqa,SEPs_ridge,40,500,0.44999998807907104,0.5667555555555555,0.5077190431504006,0.527999997138977,0.48399999737739563,0.47999998927116394,,
hotpotqa,SEPs_logreg,40,500,0.44999998807907104,0.6645494949494949,0.435895174781438,0.6159999966621399,0.5759999752044678,0.5066666603088379,0.2945037388775969,0.25168066666314304
hotpotqa,DCP_mlp,40,500,0.44999998807907104,0.6014868686868687,0.4834797395368402,0.4959999918937683,0.5320000052452087,0.4986666738986969,0.3671608567237854,0.35477332820743324
hotpotqa,SEPs_ridge,48,500,0.44999998807907104,0.5568646464646465,0.49811791009205686,0.5600000023841858,0.4880000054836273,0.4560000002384186,,
hotpotqa,SEPs_logreg,48,500,0.44999998807907104,0.7283717171717172,0.3769897107058029,0.7279999852180481,0.628000020980835,0.5199999809265137,0.34206170587620716,0.343677009384575
hotpotqa,DCP_mlp,48,500,0.44999998807907104,0.7616969696969698,0.3681489952406379,0.7440000176429749,0.6399999856948853,0.5493333339691162,0.27847805619239807,0.2769381011417135
hotpotqa,SEPs_ridge,56,500,0.44999998807907104,0.5892363636363637,0.4870683879230492,0.5519999861717224,0.5239999890327454,0.47999998927116394,,
hotpotqa,SEPs_logreg,56,500,0.44999998807907104,0.7909979797979798,0.34591693563878667,0.7519999742507935,0.6639999747276306,0.5546666383743286,0.23768412974568207,0.21843595082009784
hotpotqa,DCP_mlp,56,500,0.44999998807907104,0.729519191919192,0.3785612006981929,0.7200000286102295,0.6079999804496765,0.5306666493415833,0.28244268894195557,0.2607602301184088
hotpotqa,SEPs_ridge,64,500,0.44999998807907104,0.43961212121212123,0.5961711253304733,0.4399999976158142,0.40400001406669617,0.41866666078567505,,
hotpotqa,SEPs_logreg,64,500,0.44999998807907104,0.7710060606060607,0.35290968958010305,0.7279999852180481,0.6520000100135803,0.54666668176651,0.23835116425410055,0.19950779204445948
hotpotqa,DCP_mlp,64,500,0.44999998807907104,0.7714666666666666,0.3546913897425471,0.7680000066757202,0.6600000262260437,0.54666668176651,0.2582617998123169,0.25354624012112614
hotpotqa,SEPs_ridge,72,500,0.44999998807907104,0.3604363636363636,0.652473365596692,0.29600000381469727,0.3479999899864197,0.3893333375453949,,
hotpotqa,SEPs_logreg,72,500,0.44999998807907104,0.7874747474747475,0.35411036974157717,0.7760000228881836,0.6759999990463257,0.5519999861717224,0.2479314220298641,0.2274762787341628
hotpotqa,DCP_mlp,72,500,0.44999998807907104,0.7712484848484848,0.35645485162645685,0.7599999904632568,0.6679999828338623,0.5413333177566528,0.2710314393043518,0.25757549652457234
hotpotqa,SEPs_ridge,80,500,0.44999998807907104,0.48433131313131306,0.5715803256514045,0.3840000033378601,0.4399999976158142,0.4586666524410248,,
hotpotqa,SEPs_logreg,80,500,0.44999998807907104,0.7651070707070708,0.3592306043371366,0.7200000286102295,0.6480000019073486,0.5546666383743286,0.2802827884061173,0.2746147553193461
hotpotqa,DCP_mlp,80,500,0.44999998807907104,0.756630303030303,0.36939007933129764,0.7279999852180481,0.6600000262260437,0.5440000295639038,0.2960001826286316,0.29706850592140105
