probe,layer,regime,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
SEPs_ridge,4,cv_5fold,1000,0.566,0.6554118968914363,0.324850846305225,0.716,0.686,0.624,,
SEPs_ridge,4,cross_seed,1000,0.566,0.7810245721450553,0.2648662328054866,0.804,0.78,0.6986666666666667,,
SEPs_logreg,4,cv_5fold,1000,0.566,0.6495171874745567,0.32145462254929436,0.728,0.672,0.6226666666666667,0.3243950974041383,0.30308748481960923
SEPs_logreg,4,cross_seed,1000,0.566,0.9521136278516878,0.13938227471823728,0.964,0.956,0.736,0.05509833279497616,0.04919791183526342
DCP_mlp,4,cv_5fold,1000,0.566,0.6751966260116267,0.31392884563729473,0.768,0.698,0.6466666666666666,0.3328687949882501,0.3255407970750068
DCP_mlp,4,cross_seed,1000,0.566,0.9454413704385206,0.1404594751289845,0.956,0.954,0.7373333333333333,0.055998950481129836,0.0559914829374923
ARD_ridge,4,cv_5fold,1000,0.566,0.6283646252300077,0.3304857710627057,0.692,0.65,0.6173333333333333,0.23435531892224953,0.05103782153500651
ARD_ridge,4,cross_seed,1000,0.566,0.9234135578316588,0.15427064195994955,0.972,0.954,0.712,0.08877079874721337,0.04672192348265876
ARD_mlp,4,cv_5fold,1000,0.566,0.6515689371610949,0.3264569901974309,0.74,0.658,0.6266666666666667,0.22947240858238416,0.06098191712726269
ARD_mlp,4,cross_seed,1000,0.566,0.9214147302600513,0.15608271627305864,0.96,0.956,0.7133333333333334,0.08841812008145337,0.048979363088581626
SEPs_ridge,8,cv_5fold,1000,0.566,0.6611356271677713,0.31428977889234444,0.744,0.684,0.6213333333333333,,
SEPs_ridge,8,cross_seed,1000,0.566,0.7763714969630847,0.25303407750833906,0.788,0.758,0.6986666666666667,,
SEPs_logreg,8,cv_5fold,1000,0.566,0.6915210630017423,0.29900910608361086,0.78,0.724,0.6386666666666667,0.29458430306861433,0.26988678440919855
SEPs_logreg,8,cross_seed,1000,0.566,0.9567504193059876,0.1378530850054886,0.964,0.952,0.7413333333333333,0.05499595807597458,0.04928597773701235
DCP_mlp,8,cv_5fold,1000,0.566,0.7152260995587111,0.28241644454077885,0.804,0.716,0.648,0.30074474769604476,0.2872816345138005
DCP_mlp,8,cross_seed,1000,0.566,0.9476681701975216,0.14410514086558165,0.948,0.95,0.7346666666666667,0.05599941061342521,0.05599473519295292
ARD_ridge,8,cv_5fold,1000,0.566,0.6747813909560176,0.30806855134064826,0.752,0.7,0.6266666666666667,0.22435777086734499,0.031878810695602215
ARD_ridge,8,cross_seed,1000,0.566,0.9242277442152056,0.15318875570802523,0.972,0.954,0.712,0.08874817510534508,0.04672171742366357
ARD_mlp,8,cv_5fold,1000,0.566,0.707234860204198,0.29200199748118316,0.788,0.7,0.652,0.21362886010850657,0.07922597263043689
ARD_mlp,8,cross_seed,1000,0.566,0.9206941753106122,0.15190161615171896,0.956,0.956,0.7106666666666667,0.08836277360815073,0.04429825253185455
SEPs_ridge,12,cv_5fold,1000,0.566,0.6845923368777581,0.29594355328635175,0.748,0.69,0.6373333333333333,,
SEPs_ridge,12,cross_seed,1000,0.566,0.7736887528292977,0.24937097510815556,0.792,0.76,0.6986666666666667,,
SEPs_logreg,12,cv_5fold,1000,0.566,0.728021038576151,0.26919782703621753,0.784,0.724,0.66,0.28817212811652415,0.270511576622814
SEPs_logreg,12,cross_seed,1000,0.566,0.9584602107114362,0.13739562214807233,0.964,0.962,0.7426666666666667,0.05499687534074042,0.0502827882966094
DCP_mlp,12,cv_5fold,1000,0.566,0.7347258634446598,0.26128739566259357,0.796,0.738,0.652,0.2742289240152178,0.2625459553313905
